English_Issues,English_Solutions,Tamil_Issues,Tamil_Solutions
Workload,Don't work or study continuesly. Take some small breaks.,,
overload,Don't work or study continuesly. Take some small breaks.,,
more work,Don't work or study continuesly. Take some small breaks.,,
load in studies,Don't work or study continuesly. Take some small breaks.,,
load in work,Don't work or study continuesly. Take some small breaks.,,
Education issues,Group studies will help you. Don't hesitate to clear your doubts.,,
issues in studies,Group studies will help you. Don't hesitate to clear your doubts.,,
university issues,Discuss the issue with your family and friends. Ask advice from your lectures. Consult university administration if nessessary,,
attendance issues,Discuss with university administration and lecturers. Schedule your university time table effectively,,
no enough attendance,Discuss with university administration and lecturers. Schedule your university time table effectively,,
not attending lectures,Schedule your time tables effectively. Add reminders.,,
Making mistakes in university,Mistakes are the opportunities to learn. Correct your mistakes and don't over think about those mistakes. Watch some motivational speech and stories. ,,
I make mistakes in university,Mistakes are the opportunities to learn. Correct your mistakes and don't over think about those mistakes. Watch some motivational speech and stories. ,,
mistakes in studies,Mistakes are the opportunities to learn. Correct your mistakes and don't over think about those mistakes. Watch some motivational speech and stories. Schedule your time table. Clear the doubs. Improve your self study,,
I always bother about my mistakes,Mistakes are the opportunities to learn. Correct your mistakes and don't over think about those mistakes. Watch some motivational speech and stories. ,,
Late submission,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.,,
didn't submit on time,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.,,
submit after the deadline,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.,,
last minute submission,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic.,,
submit just before the deadline,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic.,,
low marks,"Identify the reasons and weak chapters or modules. Prepare notes and clear the doubts. Refer books, tutorials or online courses",,
mark issues,"Identify the reasons and weak chapters or modules. Prepare notes and clear the doubts. Refer books, tutorials or online courses",,
less marks in exams,"Identify the reasons and weak chapters or modules. Prepare notes and clear the doubts. Refer books, tutorials or online courses",,
Do not concentrate on studies,"Play some brain game such as puzzle, chess and scrumbles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits.",,
unable to concentrate on studies,"Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits.",,
do not like the course,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the enviornment. If you still have the issue then decide whether the course is correct for you or do you want to change. Contact your university. ,,
dislike the course,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the enviornment. If you still have the issue then decide whether the course is correct for you or do you want to change. Contact your university.,,
do not like the university,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the enviornment. If you still have the issue then decide whether the university is correct for you or do you want to change. Contact your university.,,
do not like the degree,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the enviornment. If you still have the issue then decide whether the course is correct for you or do you want to change. Contact your university. ,,
problems with staffs,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
issues with staffs,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
problems with lectures,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
problems with seniors,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
issues with lectures,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
issues with seniors,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest,,
ragging,Take ragging spotive and enjoy. If it is beyond the limit file complaint,,
do not understand the lecture or module,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot.",,
unclear in studies,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot.",,
language issues,Language is just a medium to communicate. Do not afraid to communicate with others. Practice regularly. Watch some movies or listen some songs in that particular language in your free time.,,
do not undestand english,"Talk to your friends or your family members in English. Speaking in English regularly makes you to talk fluently. Watch English movies, cartoons and listen some songs in your free time.",,
fear,Be real with how you feel. Be conscious of your intentions. Focus on positive thoughts. Breathing exercise will help you,,
physical issues,Eat and drink to optimize your health. Exercise regularly. Study and practice relaxation techniques.,,
diseases,Eat and drink to optimize your health. Exercise regularly. Study and practice relaxation techniques.,,
long term issues,Eat and drink to optimize your health. Exercise regularly. Study and practice relaxation techniques.,,
mental issues,Accept your needs. Recognize what your triggers are. Practice relaxation. Exercise or medicate daily. Get enough sleep. Avoid alcohol and drugs.,,
stress,"Balance responsibilities (like schoolwork) with activities you enjoy (like relaxing or spending time with friends). It's all about balance: all work and no play is bad. Make time to exercise every day.Get proper sleep. Listen some good music. Watching anime is also a good way to reduce stress. Finding a relaxing hobby, such as gardening or woodworking.",,
depression,"Medication is a good solution. Exercise. It temporarily boosts feel-good chemicals called endorphins. Get enough sleep. Eat healthy. Avoid alcohol and other drugs. finding a relaxing hobby, such as gardening or woodworking.",,
