English_Issues,English_Solutions,Tamil_Issues,Tamil_Solutions
 I have Workload,Don't work or study continuesly. Take some small breaks.,,
 I haveoverload,Don't work or study continuesly. Take some small breaks.,,
 I have more work,Don't work or study continuesly. Take some small breaks.,,
 I have load in work,Don't work or study continuesly. Take some small breaks.,,
Education issues,Group studies will help you. Don't hesitate to clear your doubts.,,
ragging,Take ragging spotive and enjoy. If it is beyond the limit file complaint,,
fear,Be real with how you feel. Be conscious of your intentions. Focus on positive thoughts. Breathing exercise will help you,,
diseases,Eat and drink to optimize your health. Exercise regularly. Study and practice relaxation techniques.,,
stress,"Balance responsibilities (like schoolwork) with activities you enjoy (like relaxing or spending time with friends). It's all about balance: all work and no play is bad. Make time to exercise every day.Get proper sleep. Listen some good music. Watching anime is also a good way to reduce stress. Finding a relaxing hobby, such as gardening or woodworking.",,
depression,"Medication is a good solution. Exercise. It temporarily boosts feel-good chemicals called endorphins. Get enough sleep. Eat healthy. Avoid alcohol and other drugs. finding a relaxing hobby, such as gardening or woodworking.",,
low income,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking.",,
money problem,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking.",,
salary issues,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking.",,
Poor,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking.",,
Angry,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humor to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise",,
anger,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humor to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise",,
short temper,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humor to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise",,
hide feelings,"Practice mindfulness. Share your feelings honestly. Talk to someone you trust. Smile to make yourself feel good. Find a mirror, make it fun. Do breathing exercise.",,
conceal feelings,"Practice mindfulness. Share your feelings honestly. Talk to someone you trust. Smile to make yourself feel good. Find a mirror, make it fun. Do breathing exercise.",,
loneliness,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.,,
feeling alone,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.,,
isolated,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.,,
lonely,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.,,
restless,Manage your time. Prioritizing your activities can help you use your time well. Set aside time for yourself. Listen some light music,,
no rest,Manage your time. Prioritizing your activities can help you use your time well. Set aside time for yourself. Listen some light music,,
shy,"Practice social behaviors like eye contact, confident body language, introductions, small talk, asking questions, and invitations with the people you feel most comfortable around. Smile. Rehearse what to say. ",,
reserved,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully.",,
being reserved,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully.",,
quite,"Keep it light. If others bring up your shyness, keep your tone casual. Stop self-sabotaging. Identify your strengths. Choose relationships carefully.",,
insecure,Confront your feelings rather than avoid them. Prepare yourself for setbacks but don't let them control you. Embrace all of your characteristics and passions. Challenge your negative thoughts and think critically.,,
not secure,Confront your feelings rather than avoid them. Prepare yourself for setbacks but don't let them control you. Embrace all of your characteristics and passions. Challenge your negative thoughts and think critically.,,
insecurity,Confront your feelings rather than avoid them. Prepare yourself for setbacks but don't let them control you. Embrace all of your characteristics and passions. Challenge your negative thoughts and think critically.,,
embarrassed,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off,,
embarrassment,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off,,
nervous,Be kind to yourself. Confront the situation. Stay calm. Take a deep breath. Consider what you’ve learned. Laugh it off,,
frighten,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
fright,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
frightened,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
scary,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
scare,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
scared,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
terrify,Take time out. It's impossible to think clearly when you're flooded with fear or anxiety. Do Breathing exercise. Don't try to be perfect. Visualise a happy place. Talk about it.,,
tensed,"Study and practice relaxation techniques such as deep breathing, imagery, progressive muscle relaxation, and mindfulness meditation. Examine your values and live by them.",,
