Sinhala_Issues,Sinhala_Solutions
වැඩ බර,එක දිගට පාඩම් කරන්න එපා. සෑම විනාඩි 40 කට වරක් කුඩා විවේකයක් ගන්න. හොඳ සංගීතයට සවන් දෙන්න.
අවධානය යොමු කළ නොහැක,මොළ ක්රීඩා කරන්න. සෑම දිනකම විනාඩි 15 සිට 20 දක්වා පවා පිටතට යාමට උත්සාහ කරන්න. ඔබට කෙටි දුරක් ඇවිදින්න පුළුවන්.
fear  ,ඔබට හැඟෙන ආකාරය සමඟ සැබෑ වන්න. ඔබේ අභිප්රාය ගැන දැනුවත් වන්න. ධනාත්මක සිතුවිලි කෙරෙහි අවධානය යොමු කරන්න. 
ආතතිය,ඔබ භුක්ති විඳින ක්රියාකාරකම් සමඟ වගකීම් සමතුලිත කරන්න. ඒ සියල්ල සමතුලිතතාවය ගැන ය. යෝග හෝ හුස්ම ගැනීමේ ව්යායාම කරන්න 
මානසික අවපීඩනය,සෑම දිනකම ව්යායාම කිරීමට කාලය වෙන් කරන්න. නිසි නින්දක් ලබා ගන්න. ඇනිමේෂන් නැරඹීම ද මානසික ආතතිය අඩු කර ගැනීමට හොඳ ක්රමයකි. විවේකී විනෝදාංශයක් සොයා ගන්න
කෝපයෙන් ,"ඔබ කතා කිරීමට පෙර සිතන්න. ඔබ සන්සුන් වූ පසු, ඔබේ කනස්සල්ල ප්රකාශ කරන්න. කාල සීමාවක් ගන්න. ආතතිය මුදා හැරීමට හාස්යය භාවිතා කරන්න. යෝග හෝ හුස්ම ගැනීමේ ව්යායාම කරන්න. කාටූන් හෝ විහිලු වීඩියෝ නරඹන්න."
හැඟීම් සඟවන්න,සිහිය පුරුදු කරන්න. ඔබේ හැඟීම් අවංකව බෙදා ගන්න. ඔබ විශ්වාස කරන කෙනෙකු සමඟ කතා කරන්න. ඔබට වඩා හොඳ හැඟීමක් ඇති කර ගැනීමට සිනාසෙන්න. කැඩපතක් සොයාගෙන එය විනෝදජනක කරන්න.
තනිකම ,ඔබට සතුට ගෙන දෙන ඕනෑම දෙයක් කරන්න. ඔබට හැකි නම් ඔබේ පවුලේ අය හෝ මිතුරන් සමඟ සිටින්න. නව පුද්ගලයින් හමුවීමට හා ඇසුරු කරන්න. තනිකම පරාජය කිරීමට ඔබේ විශ්ව විද්යාල සමාජවලට සම්බන්ධ වන්න. 
නිදහසක් නැහැ,ඔබ සැලකිලිමත් වන දේ සඳහා කතා කරන්න. සෑම විටම ස්වේච්ඡා සේවකයෙකු වන්න. ඔබේ විශ්ව විද්යාලයේ සාධාරණ වෙළඳාමට සහභාගී වන්න. අන් අයගේ කතාවලට සවන් දෙන්න.
ගැටළු සඟවන්න,අභිප්රේරණ කථාව නරඹන්න. ඔබ විශ්වාස කරන කෙනෙකු සමඟ කතා කරන්න. ඔබේ හැඟීම් අවංකව බෙදා ගන්න
ලැජ්ජයි,"අක්ෂි සම්බන්ධතා, විශ්වාසදායක ශරීර භාෂාව, හැඳින්වීම්, කුඩා කතා, ප්රශ්න ඇසීම සහ ආරාධනා වැනි සමාජ හැසිරීම් පුරුදු කරන්න. කිව යුතු දේ පෙරහුරු කරන්න."
නිහඬයි,"අන් අය ඔබේ ලැජ්ජාව ගෙන එන්නේ නම්, ඔබේ ස්වරය අනියම් ලෙස තබා ගන්න. ස්වයං කඩාකප්පල් කිරීම නවත්වන්න. ඔබේ ශක්තීන් හඳුනා ගන්න"
බිඳ වැටීම,ඔබේ අපේක්ෂාවන් පරීක්ෂා කර ඒවා යථාර්ථවාදී බවට වග බලා ගන්න. ඔබේ මනසින් ඔබව ඉවත් කර අනෙක් පුද්ගලයින්ට දේවල් ගැන හැඟෙන ආකාරය ගැන සිතන්න
වැරදි හැසිරීම,ඔබේ මහාචාර්යවරුන් හෝ විශ්වවිද්යාල පරිපාලනය දැනුවත් කරන්න. යෝග හෝ හුස්ම ගැනීමේ ව්යායාම කරන්න.
නිදි නැති,සෑම දිනකම එකම වේලාවක අවදි වන්න. මත්පැන් සහ නිකොටින් සහ කැෆේන් වැනි උත්තේජක වලින් වළකින්න. නිතිපතා ව්යායාම කරන්න. නින්දට යාමට පෙර වහාම කන්න හෝ බොන්න එපා
දුකයි,"දුකක් දැනීම ගැන කරදර නොවන්න. දුක්බර හැඟීම් මුදා හැරීමට, හොඳ ඇඬීමක වටිනාකම නොසලකා හරින්න. ඔබව සතුටු කරන දේ සොයා ගන්න"
බලාපොරොත්තු රහිත,ඔබේ මොළය ඔබට බොරු කරන බව සලකන්න. විරුද්ධව තර්ක කරන්න. බලාපොරොත්තු සුන් වීමෙන් ඔබට ලැබෙන දේ ගැන සිතන්න. බලාපොරොත්තුව වගා කිරීමෙන් ඔබට ලබාගත හැකි දේ සලකා බලන්න. ගැටළු විසඳීමේ නිරත වන්න
පීඩනය,කෙටි පිපිරීම් වල වැඩ කරන්න. ව්යායාම කර හොඳින් කන්න. අධ්යයන සැලැස්මක් සාදන්න. අවධානය වෙනතකට යොමු කිරීමෙන් වළකින්න. ප්රමාණවත් විවේකයක් ගන්න. ඔබට අවශ්‍ය නම් උදව් ඉල්ලන්න
ඕනාවට වඩා සිතීම,ඔබ ඔබේ හිසෙහි සිරවී සිටින විට සැලකිල්ලට ගන්න. ඔබ එය හඳුනා නොගන්නේ නම් ඕනෑවට වඩා සිතීම පුරුද්දක් විය හැකිය. ගැටළු විසඳීම කෙරෙහි අවධානය යොමු කරන්න. ඔබේ සිතුවිලි වලට අභියෝග කරන්න. පරාවර්තනය සඳහා කාලසටහන.
දොස්,"වගකීම ගන්න, දොස් නොකියන්න. ඔබ ඔබේ ක්රියාවන් සඳහා වගකීම භාර ගන්නා විට, ඔබ වැරැද්දක් කළ බව ඔබ පිළිගන්නවා. ඔබටම ආදරය කරන්න. උදව් පතන්න. ඔබටම ආදරය කරන්න. ඉගෙන ගෙන ඉදිරියට යන්න"
ඇගයීමක් ලැබෙන්නේ නැහැ,ඔබව අගය කරන්න. අන් අයව අගය කරන්න. යහපත කෙරෙහි පමණක් අවධානය යොමු කරන්න. විශ්වාසයෙන් සිටින්න.
